id,position,about,combined
margot-bon-51a04624,communicatieadvisor corporate strategy gemeente utrecht,allround marketing communicatie adviseur met lange ervaring onderwijsmarketing customer journeys en sales funnels goed het ontwikkelen van strategien voor externe communicatiedoelen en de vertaling naar concrete plannen en middelen bedreven positionering en profileringsvraagstukken storytelling writing pr social media contentplanning en creatie onen offline en email marketing sterk project en teamleiding veelzijdige communicatieprofessional met communicatie c diploma van van der hilst experienced communication advisor demonstrated history working higher education industry excellent developing communication marketing strategies skilled storytelling public relations social media content offline email marketing strong projectmanager teamlead versatile media communication professional bachelors degree focused senior communication advising van der hilst,communicatieadvisor corporate strategy gemeente utrecht allround marketing communicatie adviseur met lange ervaring onderwijsmarketing customer journeys en sales funnels goed het ontwikkelen van strategien voor externe communicatiedoelen en de vertaling naar concrete plannen en middelen bedreven positionering en profileringsvraagstukken storytelling writing pr social media contentplanning en creatie onen offline en email marketing sterk project en teamleiding veelzijdige communicatieprofessional met communicatie c diploma van van der hilst experienced communication advisor demonstrated history working higher education industry excellent developing communication marketing strategies skilled storytelling public relations social media content offline email marketing strong projectmanager teamlead versatile media communication professional bachelors degree focused senior communication advising van der hilst
mike-dean-8509a193,network data manager network rail,experienced data manager demonstrated history working transportationtruckingrailroad industry skilled management transportation rail transport infrastructure project management strong information technology professional focused electronic engineering brighton polytechnic,network data manager network rail experienced data manager demonstrated history working transportationtruckingrailroad industry skilled management transportation rail transport infrastructure project management strong information technology professional focused electronic engineering brighton polytechnic
gerardludovicwan,aspiring junior engineer mcgill university graduate,aspiring junior engineer years work experience engineering consulting project management looking forward connect professionals industry want explore projects construction engineering field,aspiring junior engineer mcgill university graduate aspiring junior engineer years work experience engineering consulting project management looking forward connect professionals industry want explore projects construction engineering field
kyle-huddle-a67a21b8,airport advertising creates significant brand awareness sales helping advertisers reach highly coveted audiences affluent frequent flyers leisure travelers millennials business decision makers,experienced regional sales manager demonstrated history working marketing advertising industry skilled microsoft word public speaking leadership marketing microsoft excel strong sales professional,airport advertising creates significant brand awareness sales helping advertisers reach highly coveted audiences affluent frequent flyers leisure travelers millennials business decision makers experienced regional sales manager demonstrated history working marketing advertising industry skilled microsoft word public speaking leadership marketing microsoft excel strong sales professional
sarah-mcqueen-3bb78218,therapy dog handler therapets indianainc,worked lilly years various roles supporting dry parenteral manufacturing commercial clinical trial products pharmacist butler university,therapy dog handler therapets indianainc worked lilly years various roles supporting dry parenteral manufacturing commercial clinical trial products pharmacist butler university
mohamed-ghiati-841871127,industrial engineer,nature everything always reason understand need experience,industrial engineer nature everything always reason understand need experience
mourad-elhachimi-a1b966aa,team members,team member years experience practice job passion allows discover wide variety sectors activity passionate profession able understand richness profession,team members team member years experience practice job passion allows discover wide variety sectors activity passionate profession able understand richness profession
sophia-ngadi-54346631,insurance reinsurance broker african reinsurance brokers,years experience business insurance brokerage negotiation underwriting investment management portfolio development management large account claims development new skills specific bancassurance,insurance reinsurance broker african reinsurance brokers years experience business insurance brokerage negotiation underwriting investment management portfolio development management large account claims development new skills specific bancassurance
adil-grini-303b74163,front end developer,looking web integrator frontend developer capable integrating responsive pages adapting current standards different browsers supports right place thanks years experience web field able acquire numerous skills frontend developer mainly oriented around languages techniques cutting editing integration pages htmlcss compliance web standards wc standard accessibility standards preprocessor pug sass javascriptjquery responsive design responsive newsletter integration creation websites graphical,front end developer looking web integrator frontend developer capable integrating responsive pages adapting current standards different browsers supports right place thanks years experience web field able acquire numerous skills frontend developer mainly oriented around languages techniques cutting editing integration pages htmlcss compliance web standards wc standard accessibility standards preprocessor pug sass javascriptjquery responsive design responsive newsletter integration creation websites graphical
toddwilliamnelson,student university saskatchewan,recent graduate university saskatchewans bachelors science program majoring biochemistry biotechnology young age always fascinated natural world life exist processes govern formation behavior individual organisms processes exploited modified beneficial manner end completed fair number biomedical science courses university seeking opportunity apply knowledge various aspects metabolism dna synthesis repair protein structurefunction foster greater understanding world live well make better,student university saskatchewan recent graduate university saskatchewans bachelors science program majoring biochemistry biotechnology young age always fascinated natural world life exist processes govern formation behavior individual organisms processes exploited modified beneficial manner end completed fair number biomedical science courses university seeking opportunity apply knowledge various aspects metabolism dna synthesis repair protein structurefunction foster greater understanding world live well make better
mich%c3%a9e-mudjingu-a7749814b,studied iscgombe,professional experience date idevelopement agency operator independent national electoral commission ceni input operator office automation frica ops computer knowledge word excel access powerpoint notepad internet outlook gmail programming languages professional personal skills autonomy dynamism team spirit sense listening availability sense communication negotiation sense organization sense discretion adaptation skills,studied iscgombe professional experience date idevelopement agency operator independent national electoral commission ceni input operator office automation frica ops computer knowledge word excel access powerpoint notepad internet outlook gmail programming languages professional personal skills autonomy dynamism team spirit sense listening availability sense communication negotiation sense organization sense discretion adaptation skills
charlie-denanc%C3%A9-5b3724a9,screenwriter,screenwriter still looking projects currently volunteering multiple associations,screenwriter screenwriter still looking projects currently volunteering multiple associations
andresjaramillomoyano,editor chief sciencemind treasurer kings journal event coordinator ssdp kcl aspiring solicitor,msci pharmacology student fourth year university kings college london undertaken disciplined approach studies experience laboratory setting enabling develop technical analytical skills software aparatus whilst understanding protocols involved preparation handling euthanasia animals vitro experiments undertaking year long placement provide exposure broader understanding vivovitro pharmacology,editor chief sciencemind treasurer kings journal event coordinator ssdp kcl aspiring solicitor msci pharmacology student fourth year university kings college london undertaken disciplined approach studies experience laboratory setting enabling develop technical analytical skills software aparatus whilst understanding protocols involved preparation handling euthanasia animals vitro experiments undertaking year long placement provide exposure broader understanding vivovitro pharmacology
paul-lukes-906608134,brand strategist design thinker illustrator type nerd,passionate design sorts try think creative groundbreaking unexpected solutions clients concept king see role designer someone injects creativity concept earliest stages possible way final products always rich conceptual depth meaningful intended audience im always looking new awesome people work please dont hesitate reach,brand strategist design thinker illustrator type nerd passionate design sorts try think creative groundbreaking unexpected solutions clients concept king see role designer someone injects creativity concept earliest stages possible way final products always rich conceptual depth meaningful intended audience im always looking new awesome people work please dont hesitate reach
matthew-thompson-a3b194129,administrator miro,field years list skills include following windows mac os excel google admin usage better cloud network troubleshooting cat cat cabling fiber cabling oomnitza mysql enplug sentry okta zendesk aws cisco meraki management asana slack ip troubleshooting command line zoom dns troubleshooting casper password dameware exchange server outlook symantec endpoint protection vmware setting virtual machines troubleshooting backups veem powershell nec phone systems skype troubleshooting dell machine maintenance troubleshooting true passion field helping company achieve larger goals,administrator miro field years list skills include following windows mac os excel google admin usage better cloud network troubleshooting cat cat cabling fiber cabling oomnitza mysql enplug sentry okta zendesk aws cisco meraki management asana slack ip troubleshooting command line zoom dns troubleshooting casper password dameware exchange server outlook symantec endpoint protection vmware setting virtual machines troubleshooting backups veem powershell nec phone systems skype troubleshooting dell machine maintenance troubleshooting true passion field helping company achieve larger goals
phil-onasu-5b6a3110b,ownerdirectormh clinician,plus years mental health aod dfv organizations government ngo spent work remote isolated atsi communities fnq vulnerable people complex mental healthdfv aod live also founder director ceaba mh specialist service wwwceabamhcomau mental health specialist counselling service proving services dfv perpetrators mental health clients ndis clients foster careers parents mental health specialist need children currently second masters time masters degree applied positive psychology cqu,ownerdirectormh clinician plus years mental health aod dfv organizations government ngo spent work remote isolated atsi communities fnq vulnerable people complex mental healthdfv aod live also founder director ceaba mh specialist service wwwceabamhcomau mental health specialist counselling service proving services dfv perpetrators mental health clients ndis clients foster careers parents mental health specialist need children currently second masters time masters degree applied positive psychology cqu
braja-gopal-das-32b52312a,senior system engineer infosys,quick learner positive attitude keen learning new things passion helping people need particularly children career objectives best whatever whether education work volunteering make positive difference lives people around giving hope encouragement else fun well,senior system engineer infosys quick learner positive attitude keen learning new things passion helping people need particularly children career objectives best whatever whether education work volunteering make positive difference lives people around giving hope encouragement else fun well
richard-harrington-78690a51,project manager mace group limited,experienced onsite construction manager worked major contractors uk overseas projects varied include airports hospitals retail high end commercial developments familair working new build refurbishment fitout projects enthusiastic work good communicator able bring onsite workforce consultants clients endusers together safely produce quality work time budget,project manager mace group limited experienced onsite construction manager worked major contractors uk overseas projects varied include airports hospitals retail high end commercial developments familair working new build refurbishment fitout projects enthusiastic work good communicator able bring onsite workforce consultants clients endusers together safely produce quality work time budget
mariajesus-sancheztomas-b3420645,home carer private carer,years experience,home carer private carer years experience
maria-fernanda-ram%c3%adrez-72486391,aesthetic dentist america dental,dentist mba dental aesthetic dsd dds aesthetic veneers,aesthetic dentist america dental dentist mba dental aesthetic dsd dds aesthetic veneers
patricia-calvo-ab0612a,psychologist psychoanalyst philosophy professor,graduate professor area philosophy trained argentina dedicated research education secondary university levels also degree psychology ucacis therapist private practice pedagogical level experience tutor studies psychology given important skills accompanying monitoring developing students classroom knowledge allowed develop broad eclectic teaching methodology incorporating ideas proposals different areas favors concentration learning students accustomed multiple constant stimuli media surround research participated various conferences colloquiums alalite collaborated editing production books activities greatly enriched methodological criteria transmitting knowledge,psychologist psychoanalyst philosophy professor graduate professor area philosophy trained argentina dedicated research education secondary university levels also degree psychology ucacis therapist private practice pedagogical level experience tutor studies psychology given important skills accompanying monitoring developing students classroom knowledge allowed develop broad eclectic teaching methodology incorporating ideas proposals different areas favors concentration learning students accustomed multiple constant stimuli media surround research participated various conferences colloquiums alalite collaborated editing production books activities greatly enriched methodological criteria transmitting knowledge
daniel-madrigal-acu%c3%b1a-64616467,industrial engineer lssgb dasm smc,passionate proactive highly motivated industrial engineer thanks specialized training experience believe add value seeking continue learning consider change sign selfimprovement able adapt circumstance always give best project time strive work team promote values teamwork,industrial engineer lssgb dasm smc passionate proactive highly motivated industrial engineer thanks specialized training experience believe add value seeking continue learning consider change sign selfimprovement able adapt circumstance always give best project time strive work team promote values teamwork
jiji-mathews-3b312817,developing delivering foodservice expertise challenging yet growing horeca segment,proactive food service professional leader passion achieve deliver objective possessing extensive managerial financial management skills natural ability identify capitalize upon opportunities maximize sales optimize company benefits innovative loyal resultorientated professional strong communication interpersonal skills proven ability surpass targets within deadline regardless pressure specialties identifying developing channel partners achieving business volumes consistently profitably evolving strategies activities achieve desired business objectives implement recognition campaigns enhancing motivation ensuring cost effective logistics operations across distribution channel monitoring availability requisite goods various sales channels,developing delivering foodservice expertise challenging yet growing horeca segment proactive food service professional leader passion achieve deliver objective possessing extensive managerial financial management skills natural ability identify capitalize upon opportunities maximize sales optimize company benefits innovative loyal resultorientated professional strong communication interpersonal skills proven ability surpass targets within deadline regardless pressure specialties identifying developing channel partners achieving business volumes consistently profitably evolving strategies activities achieve desired business objectives implement recognition campaigns enhancing motivation ensuring cost effective logistics operations across distribution channel monitoring availability requisite goods various sales channels
nirmal-das-65992a54,abu dhabi commercial bank,banking professional,abu dhabi commercial bank banking professional
shakeel-ahmed-59311b114,graduate teaching assistant pittsburg state university,actively searching internship month summer break expected graduation dec experienced field construction planning site supervision quality control worked megaprojects infrastructure buildings self motivated quick learner enjoys new challenges,graduate teaching assistant pittsburg state university actively searching internship month summer break expected graduation dec experienced field construction planning site supervision quality control worked megaprojects infrastructure buildings self motivated quick learner enjoys new challenges
uday-kapse-22657b76,,yrs experience commissioning operation thermal power plant fossil fuel based coal fired gas fired utility cogeneration based power plant water treatment plant based reverse osmosis technology, yrs experience commissioning operation thermal power plant fossil fuel based coal fired gas fired utility cogeneration based power plant water treatment plant based reverse osmosis technology
daniel-murphy-894283ba,bachelors integrated studies kent state university,demonstrated history working health wellness fitness industry skilled microsoft word excel outlook public speaking management leadership project management,bachelors integrated studies kent state university demonstrated history working health wellness fitness industry skilled microsoft word excel outlook public speaking management leadership project management
danswayne,presidentceo airpower consulting llc,accomplished leader retired usaf fighter pilot demonstrated success providing process safety operations business development solutions organizations international markets governments expertise lies negotiating strategic planning middleeastern affairs process human performance improvement air force capabilities leadership development instruction flight training proven ability shape strategies build mentor highperformance teams implement safe efficient initiatives deliver immediate operational improvements provide sustainable gains adept maximizing available resources meeting strict deadlines effective communicator able build crossfunctional collaboration domestic international personnel functional arabic french,presidentceo airpower consulting llc accomplished leader retired usaf fighter pilot demonstrated success providing process safety operations business development solutions organizations international markets governments expertise lies negotiating strategic planning middleeastern affairs process human performance improvement air force capabilities leadership development instruction flight training proven ability shape strategies build mentor highperformance teams implement safe efficient initiatives deliver immediate operational improvements provide sustainable gains adept maximizing available resources meeting strict deadlines effective communicator able build crossfunctional collaboration domestic international personnel functional arabic french
norio-minato-b8408837,alldeal coltd cto,experienced chief technology officer demonstrated history working information technology services industry skilled web applications service management product management ios development art history strong information technology professional master arts focused visual communication design user interface musashino art university,alldeal coltd cto experienced chief technology officer demonstrated history working information technology services industry skilled web applications service management product management ios development art history strong information technology professional master arts focused visual communication design user interface musashino art university
dave-marston-1b611a6,seo professional,seo expert years experience,seo professional seo expert years experience
