profile_id,profile_position,job_title,description_similarity,title_similarity
mariateresa-e-6694b497,elementary school teacher miur,elementary school teacher,0.6773834042893913,0.0
dr-hala-el-tawil-049289156,clinical pharmacist bsc pharmbcpscphq teamstepps master trainer,clinical pharmacist,0.5048822111834017,0.0
david-mcadams-9498a846,architecturesolution engineer project development lead hands developer,healthrules developer,0.5040972916602507,0.4386527590209403
a-g%C3%B6khan-%C3%A7imen-2b0365100,english teacher,teacher,0.4940334586049132,0.0
syed-m-hassan-01066aa1,intelligent automation team lead rpa developer uipath automation anywhere blue prism sap mm supply chain,robotic process automation consultant,0.45177899441371844,0.0
michael-merselis-52055411a,real estate developer licensed broker barnard construction,real estate agent,0.42785102441868494,0.0
damoon-tahmasbi,software engineer elastic path,elastic path developer java,0.4164642001099532,0.0
arina-potapova-a17403175,marketing communication manager hako sushi delivery,sushi chef,0.41405001001916225,0.0
valentina-kaneva-64927b114,mrs valentina kaneva,sap mrs consultant,0.407704277088279,0.0
michelle-ehrhardt-ma-cpcs-25864530,credentialing manager unmhs,credentialing specialist,0.40635773026805544,0.0
lindseyknapton,senior paid search specialist team leader search engine people,search marketing analyst,0.39943240309797223,0.0
justin-chinakidzwa-fia-cera-ab326164,consulting actuary,consulting actuary remote,0.39333457473197,0.0
lorie-abee-5351b8a,owner cheesecake divas,cable technician,0.37282357628578905,0.0
khalilahmaraym,graphic designer,graphic designer,0.3698423252232158,0.0
murtaza-kachwala,leader business transformation data architecture data analytics,supply chain analyst,0.36883276978716284,0.0
margot-bon-51a04624,communicatieadvisor corporate strategy gemeente utrecht,senior product marketeer,0.3681366409692023,0.0
alexzhura,senior fullstack developer net angular typescript,net fullstack lead developer,0.3663364350917926,0.5064647406155549
sara-bozeman-967a1710a,supply chain sales operations planning manager,supply chain analyst,0.3643947654966431,0.0
f%C3%A9lix-gonz%C3%A1lez-004283b2,graphic designer vitrio photographer vitrio virtual reality photographer meero,graphic designer,0.3641267831515339,0.0
tanmoy-basak-2543a797,consultanttech lead microsoft azure iaas azure devops technologies,azure devops engineer aks redmond wa onsite,0.35939342406388836,0.0
malifci16,senior software engineer wirelesscar,horticulturist,0.3558762387990539,0.0
victor-lau-8243a1160,assistant manager hong kong monetary authority,business matching manager,0.35240839003410673,0.35879437201090075
majed-ali-52088a14b,master university,mechanic,0.3483420829100013,0.0
anchitakumari,process engineer sweco,seasonal water resources technician,0.3462186356165667,0.0
nirmal-das-65992a54,abu dhabi commercial bank,intern,0.3449540458924065,0.0
spikejepson,vice president flight operations draken europe,flight instructor,0.3405054490529001,0.0
sebastian-suarezp,mathematical junior data scientist,lead data scientist,0.33988517778797306,0.6907261148315987
wyatt-craig-0004a815a,associate broker johnson johnson insurance,account manager,0.3393000942899993,0.0
dave-marston-1b611a6,seo professional,seo team lead,0.3382840890323539,0.0
filip-grzeczny-77b97619a,junior purchasing specialist w delaval,sap pp mmqm,0.3371344189063914,0.0
halogeeni,sales marketing manager studiovarustamo oy,photographer,0.33688677820562335,0.0
bob-zanlungo-9273524,branch manager total mortgage services,mortgage loan officer,0.3366229016863011,0.0
demere-hood-9a3a671a8,supervisor mitigation department jacksonville regency drt,restoration technician,0.3358984360452781,0.0
sophia-ngadi-54346631,insurance reinsurance broker african reinsurance brokers,senior reinsurance contract analyst,0.33127615656301324,0.0
peter-bennetts-5717056b,website design technician,digital marketing manager,0.3284698525672604,0.0
berkay-filiz-b09960175,roketsan roket sanayii ticaret corporation system design engineer,thermal engineer,0.3276200988661325,1.0
andrew-bell-b6675068,project management lead metlifecare,project manager,0.3265316691083988,0.4886536804846427
colleen-curran-31825435,teacher,teacher,0.32192471723843347,0.0
lina-del-mundo-aa57317b,general ledger financial reporting aiaa,assistant controller bank remote,0.32165854061430443,0.0
jennifer-kirk-03442bb,global controller chief accounting officer,controller,0.3207761571099408,0.0
mariajesus-sancheztomas-b3420645,home carer private carer,sales executive,0.3205281501182285,0.0
giteshpatel21,epic certified pharmacist analyst baptist health system ky,clinical pharmacist,0.3200926224959244,0.0
desir%c3%a9e-sch%c3%b6rling-8221146a,certified assistant nurse karolinska university hospital nima,administrative assistant,0.31941143122347654,0.7216219854032663
yangjin-john-luo-a40086122,junior software engineer emersion media,mobile engineer,0.31800542718077257,0.6155677320896916
brenda-calkins-cpa-751ab412,certified public accounant,tax manager,0.3173255224322163,0.0
kartik-digital-marketing-web-development,contact web development digital marketing graphics designing web software development cloud servers,specialist,0.3171919571992253,0.0
ken-hoffman-553587101,real estate broker,customer service representative,0.315381088532815,0.0
maria-fernanda-ram%c3%adrez-72486391,aesthetic dentist america dental,associate general dentist,0.31372404552323935,0.0
olgay-siyahoglu-778a495b,kimyager,salesperson,0.3096551090986948,0.0
alfredo-rueda-abb82111a,customer service representative,hybrid personal lines customer service representative,0.30868549374264537,1.0
ashleymcuadrado,real estate attorney law offices matthew nl roach pc,associate attorney,0.3082012418476473,0.0
william-mathews,technical content developer dell emc,windchill architect,0.30720612862968055,0.0
avinash-agarwal-47124223,associate director intelligent spend management pwc india,senior mm ariba consultan,0.3061738709852387,0.0
emilymbeck0,speechlanguage pathologist life schools,slp speech pathologist healthpark plaza,0.3059941639891851,0.0
emrecruit,talent acquisition,talent acquisition supervisor,0.30595774234876305,0.0
adarsh-rajks,systems integration engineer torc robotics,hardware engineer,0.3058269142349432,1.0
pete-hopkins-69745927,general manager operations coombs catering partnership limited,assistant restaurant manager,0.3051990065230446,0.3277991437195671
andy-ambrus-467a635,field planning technician southern california edison sce,nextgen erp senior project management support specialistpomona hybrid,0.3045418618696031,0.0
matthew-vincent-dirkes,rd engineer carrier vibrating equipment,mechanical design engineering manager,0.3043722056723738,0.0
zhamis-adham-96085b13,sous chef cloud lounge,executive sous chef,0.30257082248745015,0.0
guillermopanich,technical manager blockchain web,elementary school teacher,0.2990870847714343,0.0
